State Name,Urban Agglomerations / Cities,Total - Persons,Total - Males,Total - Females,Religious communities - Hindu - Persons,Religious communities - Hindu - Males,Religious communities - Hindu - Females,Religious communities - Muslims - Persons,Religious communities - Muslims - Males,Religious communities - Muslims - Females,Religious communities - Christians - Persons,Religious communities - Christians - Males,Religious communities - Christians - Females,Religious communities - Sikhs - Persons,Religious communities - Sikhs - Males,Religious communities - Sikhs - Females,Religious communities - Buddhists - Persons,Religious communities - Buddhists - Males,Religious communities - Buddhists - Females,Religious communities - Jains - Persons,Religious communities - Jains - Males,Religious communities - Jains - Females,Religious communities - Other religions and persuasions - Persons,Religious communities - Other religions and persuasions - Males,Religious communities - Other religions and persuasions - Females,Religious communities - Religion not stated - Persons,Religious communities - Religion not stated - Males,Religious communities - Religion not stated - Females
UTTAR PRADESH,Saharanpur (MB),455754,241508,214246,236453,125741,110712,201289,106346,94943,1849,966,883,8399,4348,4051,311,174,137,7320,3859,3461,6,3,3,127,71,56
UTTAR PRADESH,Muzaffarnagar UA   ,331668,175283,156385,195871,103646,92225,125854,66432,59422,508,245,263,2465,1320,1145,82,47,35,6820,3554,3266,3,1,2,65,38,27
UTTAR PRADESH,Muzaffarnagar (MB),316729,167397,149332,181976,96308,85668,125432,66216,59216,474,223,251,1957,1053,904,82,47,35,6741,3512,3229,3,1,2,64,37,27
UTTAR PRADESH,Chandausi (MB),103749,55127,48622,77594,41293,36301,25296,13385,11911,138,66,72,391,210,181,147,75,72,155,84,71,0,0,0,28,14,14
UTTAR PRADESH,Sambhal (MB),182478,97011,85467,41575,22199,19376,140349,74516,65833,181,90,91,148,82,66,157,88,69,13,5,8,0,0,0,55,31,24
UTTAR PRADESH,Moradabad (M Corp.),641583,340314,301269,321213,170792,150421,310936,164576,146360,3511,1831,1680,3719,1960,1759,144,69,75,1687,897,790,9,5,4,364,184,180
UTTAR PRADESH,Rampur (MB),281494,146652,134842,79671,42471,37200,196706,101502,95204,565,284,281,3676,1933,1743,69,37,32,697,362,335,0,0,0,110,63,47
UTTAR PRADESH,Amroha (MB),165129,86943,78186,44207,23627,20580,119885,62787,57098,211,102,109,547,289,258,22,10,12,247,125,122,0,0,0,10,3,7
UTTAR PRADESH,Meerut UA   ,1161716,621481,540235,726395,391300,335095,401739,212166,189573,5278,2637,2641,12859,7230,5629,1277,707,570,13285,6923,6362,45,29,16,838,489,349
UTTAR PRADESH,Meerut (M Corp.),1068772,568081,500691,656457,350640,305817,385850,203716,182134,4087,1983,2104,8905,4661,4244,1243,686,557,11431,5954,5477,25,12,13,774,429,345
UTTAR PRADESH,Modinagar UA   ,139929,74788,65141,128471,68666,59805,8910,4809,4101,298,147,151,1194,624,570,181,96,85,829,415,414,4,2,2,42,29,13
UTTAR PRADESH,Hapur (MB),211983,113175,98808,144487,77296,67191,63656,33855,29801,337,170,167,2199,1171,1028,234,127,107,1002,517,485,6,3,3,62,36,26
UTTAR PRADESH,Ghaziabad (M Corp.),968256,521026,447230,807609,434929,372680,132592,71416,61176,6131,3069,3062,12901,6862,6039,1261,674,587,7048,3678,3370,165,81,84,549,317,232
UTTAR PRADESH,Loni (NP),120945,65278,55667,55333,30031,25302,64366,34562,29804,356,213,143,369,187,182,39,20,19,454,247,207,0,0,0,28,18,10
UTTAR PRADESH,Modinagar (MB),113218,60468,52750,105670,56448,49222,5294,2865,2429,259,128,131,1032,532,500,136,76,60,792,397,395,4,2,2,31,20,11
UTTAR PRADESH,Noida (CT),305058,168958,136100,268782,148549,120233,24507,14414,10093,4301,2077,2224,4909,2577,2332,421,232,189,1869,964,905,79,37,42,190,108,82
UTTAR PRADESH,Bulandshahr (MB),176425,93531,82894,114722,60993,53729,59641,31464,28177,617,334,283,889,439,450,136,68,68,304,166,138,6,5,1,110,62,48
UTTAR PRADESH,Aligarh (M Corp.),669087,356725,312362,383759,204849,178910,274607,146282,128325,2667,1340,1327,3888,2034,1854,1125,634,491,2803,1453,1350,31,15,16,207,118,89
UTTAR PRADESH,Hathras UA   ,126355,67436,58919,107445,57321,50124,17366,9274,8092,217,121,96,396,214,182,95,53,42,825,446,379,0,0,0,11,7,4
UTTAR PRADESH,Hathras (MB),123244,65778,57466,104383,55688,48695,17340,9262,8078,217,121,96,378,203,175,95,53,42,821,444,377,0,0,0,10,7,3
UTTAR PRADESH,Mathura UA   ,323315,174335,148980,267530,145084,122446,52570,27540,25030,952,449,503,1239,714,525,253,141,112,718,370,348,3,1,2,50,36,14
UTTAR PRADESH,Mathura (MB),302770,162021,140749,248458,133656,114802,51680,27044,24636,772,342,430,891,466,425,230,129,101,698,358,340,3,1,2,38,25,13
