S.No.,India/State/Union Territories,Population - Total - 2011,Population - Scheduled Castes (SC) - 2011,Population - Scheduled Tribes (ST) - 2011,% of SC population - 2011,% of ST population - 2011
India,India,1210854977,201378086,104281034,16.6,8.6
1,Andhra Pradesh,84580777,13878078,5918073,16.4,7
2,Arunachal Pradesh,1383727,0,951821,0,68.8
3,Assam,31205576,2231321,3884371,7.2,12.4
4,Bihar,104099452,16567325,1336573,15.9,1.3
5,Chhattisgarh,25545198,3274269,7822902,12.8,30.6
6,Delhi,16787941,2812309,0,16.8,0
7,Goa,1458545,25449,149275,1.7,10.2
8,Gujarat,60439692,4074447,8917174,6.7,14.8
9,Haryana,25351462,5113615,0,20.2,0
10,Himachal Pradesh,6864602,1729252,392126,25.2,5.7
11,Jammu & Kashmir,12541302,924991,1493299,7.4,11.9
12,Jharkhand,32988134,3985644,8645042,12.1,26.2
13,Karnataka,61095297,10474992,4248987,17.1,7
14,Kerala,33406061,3039573,484839,9.1,1.5
15,Madhya Pradesh,72626809,11342320,15316784,15.6,21.1
16,Maharashtra,112374333,13275898,10510213,11.8,9.4
17,Manipur,2855794,97042,902740,3.4,31.6
18,Meghalaya,2966889,17355,2555861,0.6,86.1
19,Mizoram,1097206,1218,1036115,0.1,94.4
20,Nagaland,1978502,0,1710973,0,86.5
21,Odisha,41974218,7188463,9590756,17.1,22.8
22,Punjab,27743338,8860179,0,31.9,0
23,Rajasthan,68548437,12221593,9238534,17.8,13.5
24,Sikkim,610577,28275,206360,4.6,33.8
25,Tamil Nadu,72147030,14438445,794697,20,1.1
26,Tripura,3673917,654918,1166813,17.8,31.8
27,Uttar Pradesh,199812341,41357608,1134273,20.7,0.6
28,Uttarakhand,10086292,1892516,291903,18.8,2.9
29,West Bengal,91276115,21463270,5296953,23.5,5.8
30,Andaman & Nicobar Islands,380581,0,28530,0,7.5
31,Chandigarh,1055450,199086,0,18.9,0
32,Dadra & Nagar Haveli,343709,6186,178564,1.8,52
33,Daman & Diu,243247,6124,15363,2.5,6.3
34,Lakshadweep,64473,0,61120,0,94.8
35,Puducherry,1247953,196325,0,15.7,0
